OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18040794,04/14/2018,01:01:00,04/14/2018,01:07:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Christian Campus Fellowship,767,,Techwood Drive NW,,,1
18040837,04/18/2018,14:30:00,04/18/2018,16:30:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z4,Clough Undergraduate Learning Commons,266,,Fourth Street  NW,,,1
18051006,05/08/2018,12:25:00,05/08/2018,14:33:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Family Apartments Parking Deck (Tenth Street entrance),251,,Tenth Street  NW,,,1
18051032,04/21/2018,16:54:00,04/21/2018,16:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,McMillan Street  NW @ Sixth Street  NW,,,,,,1
18051063,05/14/2018,14:00:00,05/14/2018,14:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Beringause Building,879,,Hemphill Avenue  NW,,,1
18030520,03/14/2018,17:00:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,Manufacturing Research Center (West Side),813,,Ferst Drive,,,1
18030553,03/18/2018,16:30:00,03/19/2018,07:00:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z2,North Avenue Apartments,120,,North Avenue  NW,33.770119840900001,-84.391353516400002,1
18030574,01/12/2018,09:08:00,03/22/2018,22:00:00,9999N,,Further Investigation,,ONCAM,Z2,Criminal Investigations Office,828,,West Peachtree Street NW,33.777138,-84.387672,1
18030596,03/16/2018,12:00:00,03/25/2018,18:00:00,2205,Burglary - No Forced Entry -NonResidence,Closed/Cleared,Cleared by Arrest,ONCAM,,NAA North  191  Z2,120,,North Avenue NW,33.77058,-84.39095,1
18030605,03/26/2018,14:04:00,03/26/2018,14:29:00,9999CTW,,Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,,Fifth Street NW,33.77668,-84.38863,1
18030645,03/29/2018,01:30:00,03/29/2018,02:05:00,9999,Non-Crime (not reported to state),Inactive,,NONCLERY,Z2,,,,,,,1
