OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18061236,06/14/2018,23:17:00,06/14/2018,23:40:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Techwood Drive  NW @ Bobby Dodd Way  NW,,,,,,1
18061263,06/18/2018,17:10:00,06/18/2018,17:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Tech Green,266,,Fourth Street  NW,,,1
18071382,07/02/2018,15:24:00,07/02/2018,15:24:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Beringause Building,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18071489,07/16/2018,13:33:00,07/16/2018,13:33:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,Student Center,350,,Ferst Drive NW,33.7741360837,-84.398818020899995,1
18071509,07/18/2018,12:51:00,07/18/2018,12:51:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,Price Gilbert Memorial Library,704,,Cherry Street NW,33.774317321700003,-84.395723825199994,1
18071486,07/16/2018,07:30:00,07/16/2018,07:45:00,2204,Burglary - No Forced Entry - Residence,Further Investigation,,NONCAM,Z2,Sigma Nu Fraternity   325   Z2,750,,Fowler Street NW,33.7750811266,-84.394324879300001,1
18071523,07/19/2018,17:36:00,07/19/2018,17:37:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,,,,Tenth Street @ Fowler Street NW,,,1
18071533,07/18/2018,17:00:00,07/19/2018,10:02:00,2606,Fraud - Bad/Worthless Check,Inactive,,ONCAM,Z1,Research Administration,505,,Tenth Street NW,,,1
18071549,07/21/2018,19:55:00,07/21/2018,22:00:00,7399R,,Closed/Cleared,Unfounded,NONCLERY,OFFCAM,,477,,Centennial Olympic Park Drive  NW,,,1
18071615,07/28/2018,18:59:00,07/28/2018,19:30:00,9999W,,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Tenth Street  NW at Howell Mill Road  NW,,,,,,1
18071621,07/29/2018,00:18:00,07/29/2018,00:39:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Pi Kappa Alpha Fraternity,260,NW,Ferst Drive,,,1
